section,measure_code,measure_label,category,n,mean,sd,median,ci95_half_width,cronbach_alpha,frequency,denominator,notes
study,analysed_responses,Analysed Stage 4 responses,,,,,,,,40,40,All retained responses confirmed the form statement requiring age 18+ and voluntary consent.
study,public_data_boundary,Public data boundary,,,,,,,,,,"Aggregate statistics only. Submission timestamp, full name, form date, participant-level rows, and verbatim free-text responses are excluded from this public artifact."
participant_profile,gender,Gender,Man,,,,,,,29,40,
participant_profile,gender,Gender,Woman,,,,,,,10,40,
participant_profile,gender,Gender,Prefer not to say,,,,,,,1,40,
participant_profile,education,Highest completed education,Master,,,,,,,19,40,
participant_profile,education,Highest completed education,Doctorate,,,,,,,12,40,
participant_profile,education,Highest completed education,Bachelor,,,,,,,9,40,
participant_profile,role,Primary role,Researcher,,,,,,,13,40,
participant_profile,role,Primary role,Software engineer,,,,,,,9,40,
participant_profile,role,Primary role,Student,,,,,,,8,40,
participant_profile,role,Primary role,Other roles,,,,,,,4,40,
participant_profile,role,Primary role,Data scientist/ML engineer,,,,,,,3,40,
participant_profile,role,Primary role,MDE/DSL practitioner,,,,,,,3,40,
participant_profile,similar_projects,Number of similar projects,0,,,,,,,17,40,
participant_profile,similar_projects,Number of similar projects,1–2,,,,,,,10,40,
participant_profile,similar_projects,Number of similar projects,3–5,,,,,,,7,40,
participant_profile,similar_projects,Number of similar projects,>5,,,,,,,6,40,
participant_profile,experience_duration,Total time on similar projects,<6 months,,,,,,,22,40,
participant_profile,experience_duration,Total time on similar projects,6–12 months,,,,,,,8,40,
participant_profile,experience_duration,Total time on similar projects,>3 years,,,,,,,6,40,
participant_profile,experience_duration,Total time on similar projects,1–3 years,,,,,,,4,40,
participant_profile,session_mode,Session mode,Remote/online,,,,,,,38,40,
participant_profile,session_mode,Session mode,In-person,,,,,,,2,40,
participant_profile,device,Device,My own laptop/computer,,,,,,,38,40,
participant_profile,device,Device,Lab/Provided computer,,,,,,,2,40,
participant_profile,operating_system,Operating system,Windows,,,,,,,28,40,
participant_profile,operating_system,Operating system,Linux,,,,,,,7,40,
participant_profile,operating_system,Operating system,macOS,,,,,,,5,40,
participant_profile,browser,Browser,Chrome,,,,,,,20,40,
participant_profile,browser,Browser,Firefox,,,,,,,8,40,
participant_profile,browser,Browser,Edge,,,,,,,7,40,
participant_profile,browser,Browser,Safari,,,,,,,3,40,
participant_profile,browser,Browser,Brave,,,,,,,2,40,
participant_profile,active_time,Estimated active time,<10 min,,,,,,,15,40,
participant_profile,active_time,Estimated active time,10–20 min,,,,,,,14,40,
participant_profile,active_time,Estimated active time,20–30 min,,,,,,,8,40,
participant_profile,active_time,Estimated active time,>30 min,,,,,,,3,40,
task_completion,B1,Generated code,Yes,,,,,,,38,40,
task_completion,B1,Generated code,No,,,,,,,1,40,
task_completion,B1,Generated code,Not attempted,,,,,,,1,40,
task_completion,B2,Ran generated code,Yes,,,,,,,39,40,
task_completion,B2,Ran generated code,Not attempted,,,,,,,1,40,
task_completion,B3,Viewed preprocessing plot,Yes,,,,,,,39,40,
task_completion,B3,Viewed preprocessing plot,Not attempted,,,,,,,1,40,
task_completion,B4,Viewed forecasting plots,Yes,,,,,,,38,40,
task_completion,B4,Viewed forecasting plots,Not attempted,,,,,,,1,40,
task_completion,B4,Viewed forecasting plots,No,,,,,,,1,40,
task_completion,B5,Freeze/crash/timeout,No,,,,,,,35,40,
task_completion,B5,Freeze/crash/timeout,Yes,,,,,,,5,40,
task_completion,F1,Encountered an error,No,,,,,,,34,40,
task_completion,F1,Encountered an error,Yes,,,,,,,6,40,
likert_item,C1,C1–C5 Workflow usability: [(C1) The tutorial steps were clear enough to complete the workflow without external help.],,40,4.4750,0.5986,5.0000,0.1914,,,,
likert_item,C2,C1–C5 Workflow usability: [(C2) The editor buttons and their effects were clear (Save / Generate / Run / Plots).],,40,4.7750,0.4229,5.0000,0.1353,,,,
likert_item,C3,"C1–C5 Workflow usability: [(C3) From the console/logs, it was clear which stage was running (preprocess/train/predict).]",,40,4.4750,0.7841,5.0000,0.2508,,,,
likert_item,C4,C1–C5 Workflow usability: [(C4) The edit → generate → run → inspect cycle was smooth enough for experimentation.],,40,4.5000,0.8165,5.0000,0.2611,,,,
likert_item,C5,C1–C5 Workflow usability: [(C5) The allowed safe edits were clear and helped avoid unnecessary invalid configurations.],,40,4.3000,0.9115,5.0000,0.2915,,,,
